Geographic Area,Year,Population
Kill Devil Hills,2023,7790
Kill Devil Hills,2024,7742
King,2020,7218
King,2021,7274
King,2022,7425
King,2023,7546
King,2024,7764
Kings Mountain,2020,11197
Kings Mountain,2021,11366
Kings Mountain,2022,11668
Kings Mountain,2023,11833
Kings Mountain,2024,11797
Kingstown,2020,660
Kingstown,2021,664
Kingstown,2022,663
Kingstown,2023,666
Kingstown,2024,664
Kinston,2020,19763
Kinston,2021,19516
Kinston,2022,19307
Kinston,2023,19431
Kinston,2024,19519
Kittrell,2020,126
Kittrell,2021,124
Kittrell,2022,125
Kittrell,2023,125
Kittrell,2024,125
Kitty Hawk,2020,3709
Kitty Hawk,2021,3769
Kitty Hawk,2022,3742
Kitty Hawk,2023,3721
Kitty Hawk,2024,3691
Knightdale,2020,19454
Knightdale,2021,19571
Knightdale,2022,19727
Knightdale,2023,20429
Knightdale,2024,21829
Kure Beach,2020,2183
Kure Beach,2021,2172
Kure Beach,2022,2177
Kure Beach,2023,2160
Kure Beach,2024,2154
La Grange,2020,2585
La Grange,2021,2646
La Grange,2022,2738
La Grange,2023,2869
La Grange,2024,2922
Lake Lure,2020,1367
Lake Lure,2021,1369
Lake Lure,2022,1375
Lake Lure,2023,1386
Lake Lure,2024,1390
Lake Park,2020,3303
Lake Park,2021,3355
Lake Park,2022,3426
Lake Park,2023,3516
Lake Park,2024,3582
Lake Santeetlah,2020,41
Lake Santeetlah,2021,41
Lake Santeetlah,2022,41
Lake Santeetlah,2023,41
Lake Santeetlah,2024,41
Lake Waccamaw,2020,1290
Lake Waccamaw,2021,1278
Lake Waccamaw,2022,1249
Lake Waccamaw,2023,1231
Lake Waccamaw,2024,1227
Landis,2020,3703
Landis,2021,3722
Landis,2022,3760
Landis,2023,3808
Landis,2024,3838
Lansing,2020,126
Lansing,2021,126
Lansing,2022,128
Lansing,2023,127
Lansing,2024,129
Lasker,2020,61
Lasker,2021,60
Lasker,2022,58
Lasker,2023,58
Lasker,2024,57
Lattimore,2020,435
Lattimore,2021,437
Lattimore,2022,442
Lattimore,2023,451
Lattimore,2024,449
Laurel Park,2020,2247
Laurel Park,2021,2254
Laurel Park,2022,2280
Laurel Park,2023,2300
Laurel Park,2024,2319
Laurinburg,2020,15100
Laurinburg,2021,15070
Laurinburg,2022,15046
Laurinburg,2023,15056
Laurinburg,2024,15130
Lawndale,2020,569
Lawndale,2021,572
Lawndale,2022,571
Lawndale,2023,575
Lawndale,2024,574
Leggett,2020,36
Leggett,2021,35
Leggett,2022,35
Leggett,2023,35
Leggett,2024,35
Leland,2020,25163
Leland,2021,27391
Leland,2022,29518
Leland,2023,31495
Leland,2024,34451
Lenoir,2020,18350
Lenoir,2021,18301
Lenoir,2022,18207
Lenoir,2023,18267
Lenoir,2024,18280
Lewiston Woodville,2020,435
Lewiston Woodville,2021,424
Lewiston Woodville,2022,418
Lewiston Woodville,2023,416
Lewiston Woodville,2024,412
Lewisville,2020,13415
Lewisville,2021,13620
Lewisville,2022,13828
Lewisville,2023,14050
Lewisville,2024,14203
Lexington,2020,19513
Lexington,2021,19532
Lexington,2022,19630
Lexington,2023,19724
Lexington,2024,19904
Liberty,2020,2661
Liberty,2021,2674
Liberty,2022,2685
Liberty,2023,2706
Liberty,2024,2715
Lilesville,2020,391
Lilesville,2021,391
Lilesville,2022,392
Lilesville,2023,391
Lilesville,2024,392
Lillington,2020,4811
Lillington,2021,4496
Lillington,2022,4611
Lillington,2023,4764
Lillington,2024,4848
Lincolnton,2020,11135
Lincolnton,2021,11441
Lincolnton,2022,11827
Lincolnton,2023,12146
Lincolnton,2024,12353
Linden,2020,136
Linden,2021,138
Linden,2022,137
Linden,2023,137
Linden,2024,138
Littleton,2020,557
Littleton,2021,553
Littleton,2022,545
Littleton,2023,539
Littleton,2024,539
Locust,2020,4848
Locust,2021,5058
Locust,2022,5455
Locust,2023,5866
Locust,2024,5992
Long View,2020,5095
Long View,2021,5123
Long View,2022,5168
Long View,2023,5225
Long View,2024,5289
Louisburg,2020,3129
Louisburg,2021,3166
Louisburg,2022,3258
Louisburg,2023,3340
Louisburg,2024,3423
Love Valley,2020,156
Love Valley,2021,159
Love Valley,2022,163
Love Valley,2023,166
Love Valley,2024,175
Lowell,2020,3663
Lowell,2021,3728
Lowell,2022,3750
Lowell,2023,3803
Lowell,2024,3863
Lucama,2020,1040
Lucama,2021,1032
Lucama,2022,1035
Lucama,2023,1048
Lucama,2024,1060
Lumber Bridge,2020,83
Lumber Bridge,2021,82
Lumber Bridge,2022,82
Lumber Bridge,2023,83
Lumber Bridge,2024,85
Lumberton,2020,18882
Lumberton,2021,18849
Lumberton,2022,18810
Lumberton,2023,18915
Lumberton,2024,18882
McAdenville,2020,890
McAdenville,2021,901
McAdenville,2022,910
McAdenville,2023,922
McAdenville,2024,936
Macclesfield,2020,411
Macclesfield,2021,407
Macclesfield,2022,404
Macclesfield,2023,408
Macclesfield,2024,407
McDonald,2020,93
McDonald,2021,92
McDonald,2022,92
McDonald,2023,93
McDonald,2024,95
McFarlan,2020,92
McFarlan,2021,91
McFarlan,2022,93
McFarlan,2023,92
McFarlan,2024,92
Macon,2020,103
Macon,2021,103
Macon,2022,102
Macon,2023,103
Macon,2024,106
Madison,2020,2131
Madison,2021,2122
Madison,2022,2147
Madison,2023,2160
Madison,2024,2176
Maggie Valley,2020,1719
Maggie Valley,2021,1730
Maggie Valley,2022,1727
Maggie Valley,2023,1739
Maggie Valley,2024,1742
Magnolia,2020,832
Magnolia,2021,832
Magnolia,2022,841
Magnolia,2023,854
Magnolia,2024,867
Maiden,2020,3697
Maiden,2021,3703
Maiden,2022,3775
Maiden,2023,3810
Maiden,2024,3854
Manteo,2020,1597
Manteo,2021,1623
Manteo,2022,1611
Manteo,2023,1613
Manteo,2024,1595
Marietta,2020,105
Marietta,2021,104
Marietta,2022,106
Marietta,2023,106
Marietta,2024,106
Marion,2020,7707
Marion,2021,7520
Marion,2022,7559
Marion,2023,7550
Marion,2024,7534
Marshall,2020,778
Marshall,2021,791
Marshall,2022,796
Marshall,2023,801
Marshall,2024,812
Mars Hill,2020,2072
Mars Hill,2021,2163
Mars Hill,2022,2218
Mars Hill,2023,2187
Mars Hill,2024,2208
Marshville,2020,2538
Marshville,2021,2582
Marshville,2022,2601
Marshville,2023,2663
Marshville,2024,2710
Marvin,2020,6415
Marvin,2021,6540
Marvin,2022,6659
Marvin,2023,6852
Marvin,2024,6985
Matthews,2020,29520
Matthews,2021,29605
Matthews,2022,30577
Matthews,2023,31246
Matthews,2024,32048
Maxton,2020,2108
Maxton,2021,2104
Maxton,2022,2107
Maxton,2023,2122
Maxton,2024,2136
Mayodan,2020,2415
Mayodan,2021,2418
Mayodan,2022,2439
Mayodan,2023,2454
Mayodan,2024,2478
Maysville,2020,819
Maysville,2021,826
Maysville,2022,828
Maysville,2023,844
Maysville,2024,843
Mebane,2020,18238
Mebane,2021,18798
Mebane,2022,19709
Mebane,2023,20295
Mebane,2024,20654
Mesic,2020,138
Mesic,2021,140
Mesic,2022,140
Mesic,2023,142
Mesic,2024,143
Micro,2020,463
Micro,2021,482
Micro,2022,497
Micro,2023,514
Micro,2024,530
Middleburg,2020,103
Middleburg,2021,101
Middleburg,2022,101
Middleburg,2023,103
Middleburg,2024,103
Middlesex,2020,924
Middlesex,2021,927
Middlesex,2022,934
Middlesex,2023,943
Middlesex,2024,960
Midland,2020,4682
Midland,2021,4782
Midland,2022,4860
Midland,2023,4933
Midland,2024,5027
Midway,2020,4754
Midway,2021,4809
Midway,2022,4872
Midway,2023,4954
Midway,2024,5053
Mills River,2020,7148
Mills River,2021,7194
Mills River,2022,7267
Mills River,2023,7349
Mills River,2024,7426
Milton,2020,153
Milton,2021,152
Milton,2022,151
Milton,2023,153
Milton,2024,152
Mineral Springs,2020,3178
Mineral Springs,2021,3239
Mineral Springs,2022,3295
Mineral Springs,2023,3390
Mineral Springs,2024,3456
Minnesott Beach,2020,530
Minnesott Beach,2021,531
Minnesott Beach,2022,531
Minnesott Beach,2023,539
Minnesott Beach,2024,544
Mint Hill,2020,26532
Mint Hill,2021,26680
Mint Hill,2022,27499
Mint Hill,2023,28104
Mint Hill,2024,28825
Misenheimer,2020,695
Misenheimer,2021,683
Misenheimer,2022,652
Misenheimer,2023,652
Misenheimer,2024,657
Mocksville,2020,5914
Mocksville,2021,6020
Mocksville,2022,6067
Mocksville,2023,6128
Mocksville,2024,6224
Momeyer,2020,271
Momeyer,2021,274
Momeyer,2022,277
Momeyer,2023,280
Momeyer,2024,286
Monroe,2020,34685
Monroe,2021,35059
Monroe,2022,36078
Monroe,2023,37950
Monroe,2024,40054
Montreat,2020,1032
Montreat,2021,1033
Montreat,2022,1049
Montreat,2023,1048
Montreat,2024,1044
Mooresboro,2020,296
Mooresboro,2021,298
Mooresboro,2022,297
Mooresboro,2023,299
Mooresboro,2024,299
Mooresville,2020,50562
Mooresville,2021,51752
Mooresville,2022,52784
Mooresville,2023,53891
Mooresville,2024,52884
Morehead City,2020,9583
Morehead City,2021,9724
Morehead City,2022,9859
Morehead City,2023,9894
Morehead City,2024,9963
Morganton,2020,17510
Morganton,2021,17432
Morganton,2022,17761
Morganton,2023,17710
Morganton,2024,17825
Morrisville,2020,30072
Morrisville,2021,31416
Morrisville,2022,31647
Morrisville,2023,32080
Morrisville,2024,32628
Morven,2020,328
Morven,2021,328
Morven,2022,326
Morven,2023,326
Morven,2024,327
Mount Airy,2020,10669
Mount Airy,2021,10622
Mount Airy,2022,10631
Mount Airy,2023,10596
Mount Airy,2024,10583
Mount Gilead,2020,1171
Mount Gilead,2021,1171
Mount Gilead,2022,1171
Mount Gilead,2023,1183
Mount Gilead,2024,1185
Mount Holly,2020,17764
Mount Holly,2021,17988
Mount Holly,2022,18163
Mount Holly,2023,18422
Mount Holly,2024,18723
Mount Olive,2020,4399
Mount Olive,2021,4367
Mount Olive,2022,4418
Mount Olive,2023,4476
Mount Olive,2024,4498
Mount Pleasant,2020,1668
Mount Pleasant,2021,1699
Mount Pleasant,2022,1724
Mount Pleasant,2023,1748
Mount Pleasant,2024,1776
Murfreesboro,2020,2559
Murfreesboro,2021,2475
Murfreesboro,2022,2393
Murfreesboro,2023,2289
Murfreesboro,2024,2277
Murphy,2020,1613
Murphy,2021,1628
Murphy,2022,1634
Murphy,2023,1674
Murphy,2024,1693
Nags Head,2020,3179
Nags Head,2021,3203
Nags Head,2022,3182
Nags Head,2023,3134
Nags Head,2024,3106
Nashville,2020,5652
Nashville,2021,5667
Nashville,2022,5695
Nashville,2023,5756
Nashville,2024,5850
Navassa,2020,1382
Navassa,2021,1510
Navassa,2022,1664
Navassa,2023,1726
Navassa,2024,1776
New Bern,2020,31338
New Bern,2021,31822
New Bern,2022,32544
New Bern,2023,33789
New Bern,2024,34218
Newland,2020,717
Newland,2021,721
Newland,2022,725
Newland,2023,728
Newland,2024,733
New London,2020,608
New London,2021,615
New London,2022,620
New London,2023,633
New London,2024,648
Newport,2020,4341
Newport,2021,4419
Newport,2022,4485
Newport,2023,4483
Newport,2024,4501
Newton,2020,13153
Newton,2021,13197
Newton,2022,13300
Newton,2023,13423
Newton,2024,13571
Newton Grove,2020,583
Newton Grove,2021,584
Newton Grove,2022,569
Newton Grove,2023,591
Newton Grove,2024,595
Norlina,2020,906
Norlina,2021,914
Norlina,2022,907
Norlina,2023,916
Norlina,2024,930
Norman,2020,99
Norman,2021,99
Norman,2022,98
Norman,2023,98
Norman,2024,97
North Topsail Beach,2020,1007
North Topsail Beach,2021,1009
North Topsail Beach,2022,1032
North Topsail Beach,2023,1069
North Topsail Beach,2024,1081
Northwest,2020,699
Northwest,2021,768
Northwest,2022,899
Northwest,2023,993
Northwest,2024,1037
North Wilkesboro,2020,4448
North Wilkesboro,2021,4380
North Wilkesboro,2022,4437
North Wilkesboro,2023,4427
North Wilkesboro,2024,4412
Norwood,2020,2364
Norwood,2021,2390
Norwood,2022,2419
Norwood,2023,2465
Norwood,2024,2520
Oakboro,2020,2123
Oakboro,2021,2148
Oakboro,2022,2176
Oakboro,2023,2219
Oakboro,2024,2270
Oak City,2020,270
Oak City,2021,268
Oak City,2022,263
Oak City,2023,263
Oak City,2024,264
Oak Island,2020,8387
Oak Island,2021,8798
Oak Island,2022,9231
Oak Island,2023,9400
Oak Island,2024,9322
Oak Ridge,2020,7641
Oak Ridge,2021,7664
Oak Ridge,2022,7736
Oak Ridge,2023,7820
Oak Ridge,2024,7900
Ocean Isle Beach,2020,859
Ocean Isle Beach,2021,896
Ocean Isle Beach,2022,944
Ocean Isle Beach,2023,968
Ocean Isle Beach,2024,962
Old Fort,2020,815
Old Fort,2021,817
Old Fort,2022,822
Old Fort,2023,826
Old Fort,2024,833
Oriental,2020,882
Oriental,2021,886
Oriental,2022,886
Oriental,2023,898
Oriental,2024,903
Orrum,2020,60
Orrum,2021,60
Orrum,2022,61
Orrum,2023,61
Orrum,2024,61
Ossipee,2020,537
Ossipee,2021,539
Ossipee,2022,548
Ossipee,2023,559
Ossipee,2024,569
Oxford,2020,8777
Oxford,2021,8908
Oxford,2022,8921
Oxford,2023,8979
Oxford,2024,8972
Pantego,2020,161
Pantego,2021,162
Pantego,2022,159
Pantego,2023,160
Pantego,2024,161
Parkton,2020,500
Parkton,2021,498
Parkton,2022,497
Parkton,2023,502
Parkton,2024,504
Parmele,2020,246
Parmele,2021,244
Parmele,2022,243
Parmele,2023,243
Parmele,2024,243
Patterson Springs,2020,574
Patterson Springs,2021,577
Patterson Springs,2022,578
Patterson Springs,2023,583
Patterson Springs,2024,581
Peachland,2020,393
Peachland,2021,393
Peachland,2022,391
Peachland,2023,391
Peachland,2024,390
Peletier,2020,771
Peletier,2021,784
Peletier,2022,792
Peletier,2023,795
Peletier,2024,803
Pembroke,2020,2813
Pembroke,2021,2796
Pembroke,2022,2810
Pembroke,2023,2846
Pembroke,2024,2864
Pikeville,2020,712
Pikeville,2021,713
Pikeville,2022,717
Pikeville,2023,724
Pikeville,2024,729
Pilot Mountain,2020,1436
Pilot Mountain,2021,1432
Pilot Mountain,2022,1433
Pilot Mountain,2023,1430
Pilot Mountain,2024,1430
Pinebluff,2020,1471
Pinebluff,2021,1496
Pinebluff,2022,1541
Pinebluff,2023,1534
Pinebluff,2024,1540
Pinehurst,2020,17681
Pinehurst,2021,18119
Pinehurst,2022,18464
Pinehurst,2023,18477
Pinehurst,2024,18502
Pine Knoll Shores,2020,1385
Pine Knoll Shores,2021,1393
Pine Knoll Shores,2022,1415
Pine Knoll Shores,2023,1428
Pine Knoll Shores,2024,1435
Pine Level,2020,2064
Pine Level,2021,2145
Pine Level,2022,2213
Pine Level,2023,2286
Pine Level,2024,2347
Pinetops,2020,1208
Pinetops,2021,1196
Pinetops,2022,1186
Pinetops,2023,1192
Pinetops,2024,1196
Pineville,2020,10638
Pineville,2021,10700
Pineville,2022,11024
Pineville,2023,11277
Pineville,2024,11567
Pink Hill,2020,453
Pink Hill,2021,451
Pink Hill,2022,450
Pink Hill,2023,454
Pink Hill,2024,456
Pittsboro,2020,4571
Pittsboro,2021,4628
Pittsboro,2022,4749
Pittsboro,2023,4869
Pittsboro,2024,4989
Pleasant Garden,2020,4997
Pleasant Garden,2021,4970
Pleasant Garden,2022,5038
Pleasant Garden,2023,5098
Pleasant Garden,2024,5151
Plymouth,2020,3310
Plymouth,2021,3278
Plymouth,2022,3235
Plymouth,2023,3219
Plymouth,2024,3190
Polkton,2020,2247
Polkton,2021,2486
Polkton,2022,2643
Polkton,2023,2696
Polkton,2024,2698
Polkville,2020,517
Polkville,2021,520
Polkville,2022,522
Polkville,2023,524
Polkville,2024,524
Pollocksville,2020,263
Pollocksville,2021,265
Pollocksville,2022,265
Pollocksville,2023,271
Pollocksville,2024,271
Powellsville,2020,189
Powellsville,2021,184
Powellsville,2022,182
Powellsville,2023,180
Powellsville,2024,179
Princeton,2020,1322
Princeton,2021,1376
Princeton,2022,1421
Princeton,2023,1466
Princeton,2024,1507
Princeville,2020,1270
Princeville,2021,1265
Princeville,2022,1262
Princeville,2023,1277
Princeville,2024,1286
Proctorville,2020,119
Proctorville,2021,118
Proctorville,2022,118
Proctorville,2023,121
Proctorville,2024,121
Raeford,2020,4556
Raeford,2021,4545
Raeford,2022,4534
Raeford,2023,4557
Raeford,2024,4578
Raleigh,2020,465861
Raleigh,2021,471377
Raleigh,2022,475200
Raleigh,2023,491078
Raleigh,2024,499825
Ramseur,2020,1775
Ramseur,2021,1772
Ramseur,2022,1779
Ramseur,2023,1788
Ramseur,2024,1790
Randleman,2020,4608
Randleman,2021,4628
Randleman,2022,4646
Randleman,2023,4682
Randleman,2024,4692
Ranlo,2020,4520
Ranlo,2021,4575
Ranlo,2022,4616
Ranlo,2023,4682
Ranlo,2024,4756
Raynham,2020,61
Raynham,2021,61
Raynham,2022,61
Raynham,2023,61
Raynham,2024,63
Red Cross,2020,760
Red Cross,2021,771
Red Cross,2022,781
Red Cross,2023,799
Red Cross,2024,819
Red Oak,2020,3351
Red Oak,2021,3364
Red Oak,2022,3390
Red Oak,2023,3422
Red Oak,2024,3480
Red Springs,2020,3085
Red Springs,2021,3094
Red Springs,2022,3118
Red Springs,2023,3148
Red Springs,2024,3181
Reidsville,2020,14593
Reidsville,2021,14533
Reidsville,2022,14563
Reidsville,2023,14598
Reidsville,2024,14646
Rennert,2020,279
Rennert,2021,280
Rennert,2022,282
Rennert,2023,286
Rennert,2024,288
Rhodhiss,2020,990
Rhodhiss,2021,988
Rhodhiss,2022,985
Rhodhiss,2023,988
Rhodhiss,2024,987
Richfield,2020,574
Richfield,2021,580
Richfield,2022,588
Richfield,2023,600
Richfield,2024,614
Richlands,2020,2296
Richlands,2021,2320
Richlands,2022,2355
Richlands,2023,2421
Richlands,2024,2446
Rich Square,2020,891
Rich Square,2021,871
Rich Square,2022,862
Rich Square,2023,855
Rich Square,2024,849
River Bend,2020,2895
River Bend,2021,2872
River Bend,2022,2864
River Bend,2023,2864
River Bend,2024,2882
Roanoke Rapids,2020,15195
Roanoke Rapids,2021,15078
Roanoke Rapids,2022,14835
Roanoke Rapids,2023,14654
Roanoke Rapids,2024,14573
Robbins,2020,1174
Robbins,2021,1201
Robbins,2022,1229
Robbins,2023,1249
Robbins,2024,1270
Robbinsville,2020,586
Robbinsville,2021,542
Robbinsville,2022,572
Robbinsville,2023,571
Robbinsville,2024,578
Robersonville,2020,1265
Robersonville,2021,1249
Robersonville,2022,1234
Robersonville,2023,1230
Robersonville,2024,1229
Rockingham,2020,9209
Rockingham,2021,9055
Rockingham,2022,8953
Rockingham,2023,8837
Rockingham,2024,8802
Rockwell,2020,2305
Rockwell,2021,2319
Rockwell,2022,2341
Rockwell,2023,2373
Rockwell,2024,2390
Rocky Mount,2020,54382
Rocky Mount,2021,53996
Rocky Mount,2022,54196
Rocky Mount,2023,54388
Rocky Mount,2024,54541
Rolesville,2020,9716
Rolesville,2021,10214
Rolesville,2022,10660
Rolesville,2023,11380
Rolesville,2024,11854
Ronda,2020,438
Ronda,2021,439
Ronda,2022,438
Ronda,2023,441
Ronda,2024,442
Roper,2020,483
Roper,2021,479
Roper,2022,477
Roper,2023,474
Roper,2024,469
Roseboro,2020,1153
Roseboro,2021,1150
Roseboro,2022,1149
Roseboro,2023,1160
Roseboro,2024,1170
Rose Hill,2020,1366
Rose Hill,2021,1360
Rose Hill,2022,1370
Rose Hill,2023,1390
Rose Hill,2024,1407
Rosman,2020,709
Rosman,2021,719
Rosman,2022,731
Rosman,2023,742
Rosman,2024,751
Rowland,2020,885
Rowland,2021,883
Rowland,2022,883
Rowland,2023,889
Rowland,2024,894
Roxboro,2020,8145
Roxboro,2021,8123
Roxboro,2022,8151
Roxboro,2023,8233
Roxboro,2024,8289
Roxobel,2020,182
Roxobel,2021,177
Roxobel,2022,177
Roxobel,2023,175
Roxobel,2024,175
Rural Hall,2020,3364
Rural Hall,2021,3416
Rural Hall,2022,3468
Rural Hall,2023,3522
Rural Hall,2024,3562
Ruth,2020,346
Ruth,2021,349
Ruth,2022,352
Ruth,2023,355
Ruth,2024,358
Rutherford College,2020,1220
Rutherford College,2021,1222
Rutherford College,2022,1217
Rutherford College,2023,1222
Rutherford College,2024,1228
Rutherfordton,2020,3661
Rutherfordton,2021,3666
Rutherfordton,2022,3690
Rutherfordton,2023,3713
Rutherfordton,2024,3718
St. Helena,2020,420
St. Helena,2021,426
St. Helena,2022,432
St. Helena,2023,437
St. Helena,2024,437
St. James,2020,6549
St. James,2021,6851
St. James,2022,7262
St. James,2023,7387
St. James,2024,7315
St. Pauls,2020,2051
St. Pauls,2021,2048
St. Pauls,2022,2051
St. Pauls,2023,2067
St. Pauls,2024,2081
Salemburg,2020,457
Salemburg,2021,454
Salemburg,2022,454
Salemburg,2023,458
Salemburg,2024,462
Salisbury,2020,35328
Salisbury,2021,35206
Salisbury,2022,35705
Salisbury,2023,36314
Salisbury,2024,36579
Saluda,2020,630
Saluda,2021,629
Saluda,2022,637
Saluda,2023,646
Saluda,2024,653
Sandy Creek,2020,251
Sandy Creek,2021,266
Sandy Creek,2022,285
Sandy Creek,2023,297
Sandy Creek,2024,290
Sandyfield,2020,435
Sandyfield,2021,433
Sandyfield,2022,436
Sandyfield,2023,439
Sandyfield,2024,439
Sanford,2020,30231
Sanford,2021,30571
Sanford,2022,31337
Sanford,2023,32228
Sanford,2024,32971
Saratoga,2020,350
Saratoga,2021,346
Saratoga,2022,347
Saratoga,2023,351
Saratoga,2024,352
Sawmills,2020,5026
Sawmills,2021,5027
Sawmills,2022,5019
Sawmills,2023,5042
Sawmills,2024,5059
Scotland Neck,2020,1645
Scotland Neck,2021,1633
Scotland Neck,2022,1617
Scotland Neck,2023,1597
Scotland Neck,2024,1592
Seaboard,2020,540
Seaboard,2021,528
Seaboard,2022,516
Seaboard,2023,512
Seaboard,2024,507
Seagrove,2020,233
Seagrove,2021,235
Seagrove,2022,237
Seagrove,2023,238
Seagrove,2024,239
Sedalia,2020,675
Sedalia,2021,676
Sedalia,2022,682
Sedalia,2023,687
Sedalia,2024,695
Selma,2020,6363
Selma,2021,6609
Selma,2022,6819
Selma,2023,7036
Selma,2024,7228
Seven Devils,2020,315
Seven Devils,2021,317
Seven Devils,2022,317
Seven Devils,2023,317
Seven Devils,2024,316
Seven Springs,2020,56
Seven Springs,2021,55
Seven Springs,2022,57
Seven Springs,2023,57
Seven Springs,2024,57
Severn,2020,188
Severn,2021,184
Severn,2022,180
Severn,2023,179
Severn,2024,177
Shallotte,2020,4161
Shallotte,2021,4322
Shallotte,2022,4453
Shallotte,2023,5124
Shallotte,2024,5161
Sharpsburg,2020,1724
Sharpsburg,2021,1724
Sharpsburg,2022,1734
Sharpsburg,2023,1751
Sharpsburg,2024,1774
Shelby,2020,21953
Shelby,2021,21903
Shelby,2022,21853
Shelby,2023,22059
Shelby,2024,22778
Siler City,2020,7759
Siler City,2021,7905
Siler City,2022,8102
Siler City,2023,8113
Siler City,2024,8087
Simpson,2020,391
Simpson,2021,396
Simpson,2022,398
Simpson,2023,401
Simpson,2024,403
Sims,2020,341
Sims,2021,338
Sims,2022,337
Sims,2023,342
Sims,2024,345
Smithfield,2020,11373
Smithfield,2021,11792
Smithfield,2022,12134
Smithfield,2023,12487
Smithfield,2024,12806
Snow Hill,2020,1583
Snow Hill,2021,1577
Snow Hill,2022,1570
Snow Hill,2023,1577
Snow Hill,2024,1576
Southern Pines,2020,15686
Southern Pines,2021,16095
Southern Pines,2022,16544
Southern Pines,2023,16778
Southern Pines,2024,16987
Southern Shores,2020,3102
Southern Shores,2021,3168
Southern Shores,2022,3152
Southern Shores,2023,3143
Southern Shores,2024,3127
Southport,2020,3999
Southport,2021,4111
Southport,2022,4246
Southport,2023,4353
Southport,2024,4341
Sparta,2020,1831
Sparta,2021,1858
Sparta,2022,1873
Sparta,2023,1892
Sparta,2024,1894
Speed,2020,64
Speed,2021,63
Speed,2022,65
Speed,2023,65
Speed,2024,65
Spencer,2020,3307
Spencer,2021,3304
Spencer,2022,3327
Spencer,2023,3385
Spencer,2024,3406
Spindale,2020,4089
Spindale,2021,4096
Spindale,2022,4137
Spindale,2023,4164
Spindale,2024,4168
Spring Hope,2020,1313
Spring Hope,2021,1316
Spring Hope,2022,1325
Spring Hope,2023,1338
Spring Hope,2024,1358
Spring Lake,2020,11650
Spring Lake,2021,11645
Spring Lake,2022,11569
Spring Lake,2023,11516
Spring Lake,2024,11530
Spruce Pine,2020,2197
Spruce Pine,2021,2203
Spruce Pine,2022,2197
Spruce Pine,2023,2191
Spruce Pine,2024,2192
Staley,2020,395
Staley,2021,398
Staley,2022,400
Staley,2023,406
Staley,2024,408
Stallings,2020,16207
Stallings,2021,16516
Stallings,2022,16806
Stallings,2023,17283
Stallings,2024,17617
Stanfield,2020,1593
Stanfield,2021,1613
Stanfield,2022,1634
Stanfield,2023,1669
Stanfield,2024,1709
Stanley,2020,3985
Stanley,2021,4015
Stanley,2022,4030
Stanley,2023,4086
Stanley,2024,4147
Stantonsburg,2020,759
Stantonsburg,2021,752
Stantonsburg,2022,754
Stantonsburg,2023,761
Stantonsburg,2024,765
Star,2020,813
Star,2021,812
Star,2022,814
Star,2023,820
Star,2024,822
Statesville,2020,28599
Statesville,2021,29195
Statesville,2022,29725
Statesville,2023,30310
Statesville,2024,31693
Stedman,2020,1280
Stedman,2021,1290
Stedman,2022,1294
Stedman,2023,1301
Stedman,2024,1303
Stem,2020,994
Stem,2021,1010
Stem,2022,1014
Stem,2023,1017
Stem,2024,1018
Stokesdale,2020,5917
Stokesdale,2021,5925
Stokesdale,2022,5983
Stokesdale,2023,6053
Stokesdale,2024,6111
Stoneville,2020,1309
Stoneville,2021,1314
Stoneville,2022,1324
Stoneville,2023,1335
Stoneville,2024,1351
Stonewall,2020,212
Stonewall,2021,214
Stonewall,2022,214
Stonewall,2023,216
Stonewall,2024,219
Stovall,2020,333
Stovall,2021,338
Stovall,2022,340
Stovall,2023,341
Stovall,2024,340
Sugar Mountain,2020,374
Sugar Mountain,2021,376
Sugar Mountain,2022,379
Sugar Mountain,2023,380
Sugar Mountain,2024,382
Summerfield,2020,10956
Summerfield,2021,10991
Summerfield,2022,11096
Summerfield,2023,11218
Summerfield,2024,11333
Sunset Beach,2020,4164
Sunset Beach,2021,4236
Sunset Beach,2022,4354
Sunset Beach,2023,4507
Sunset Beach,2024,4521
Surf City,2020,3893
Surf City,2021,4102
Surf City,2022,4480
Surf City,2023,4783
Surf City,2024,4961
Swansboro,2020,3760
Swansboro,2021,3853
Swansboro,2022,4042
Swansboro,2023,4149
Swansboro,2024,4165
Swepsonville,2020,2451
Swepsonville,2021,2462
Swepsonville,2022,2495
Swepsonville,2023,2548
Swepsonville,2024,2582
Sylva,2020,2587
Sylva,2021,2600
Sylva,2022,2638
Sylva,2023,2680
Sylva,2024,2694
Tabor City,2020,3869
Tabor City,2021,3629
Tabor City,2022,3740
Tabor City,2023,3826
Tabor City,2024,3831
Tarboro,2020,10684
Tarboro,2021,10548
Tarboro,2022,10737
Tarboro,2023,10910
Tarboro,2024,10954
Tar Heel,2020,90
Tar Heel,2021,89
Tar Heel,2022,88
Tar Heel,2023,90
Tar Heel,2024,90
Taylorsville,2020,2317
Taylorsville,2021,2291
Taylorsville,2022,2267
Taylorsville,2023,2283
Taylorsville,2024,2294
Taylortown,2020,634
Taylortown,2021,649
Taylortown,2022,664
Taylortown,2023,675
Taylortown,2024,687
Teachey,2020,469
Teachey,2021,468
Teachey,2022,471
Teachey,2023,478
Teachey,2024,483
Thomasville,2020,27126
Thomasville,2021,27209
Thomasville,2022,27302
Thomasville,2023,27426
Thomasville,2024,27605
Tobaccoville,2020,2584
Tobaccoville,2021,2626
Tobaccoville,2022,2667
