Geographic Area,Year,Population
Bogue,2021,702
Bogue,2022,705
Bogue,2023,709
Bogue,2024,715
Boiling Spring Lakes,2020,5906
Boiling Spring Lakes,2021,6114
Boiling Spring Lakes,2022,6342
Boiling Spring Lakes,2023,6612
Boiling Spring Lakes,2024,6738
Boiling Springs,2020,4732
Boiling Springs,2021,4780
Boiling Springs,2022,4718
Boiling Springs,2023,4765
Boiling Springs,2024,4759
Bolivia,2020,150
Bolivia,2021,151
Bolivia,2022,182
Bolivia,2023,224
Bolivia,2024,254
Bolton,2020,392
Bolton,2021,388
Bolton,2022,386
Bolton,2023,386
Bolton,2024,383
Boone,2020,19532
Boone,2021,20135
Boone,2022,20094
Boone,2023,20350
Boone,2024,20080
Boonville,2020,1199
Boonville,2021,1198
Boonville,2022,1204
Boonville,2023,1211
Boonville,2024,1215
Bostic,2020,355
Bostic,2021,356
Bostic,2022,356
Bostic,2023,361
Bostic,2024,362
Brevard,2020,7819
Brevard,2021,7873
Brevard,2022,7896
Brevard,2023,7949
Brevard,2024,7973
Bridgeton,2020,345
Bridgeton,2021,347
Bridgeton,2022,350
Bridgeton,2023,349
Bridgeton,2024,349
Broadway,2020,1275
Broadway,2021,1284
Broadway,2022,1317
Broadway,2023,1348
Broadway,2024,1362
Brookford,2020,432
Brookford,2021,435
Brookford,2022,439
Brookford,2023,442
Brookford,2024,449
Brunswick,2020,871
Brunswick,2021,924
Brunswick,2022,971
Brunswick,2023,961
Brunswick,2024,959
Bryson City,2020,1558
Bryson City,2021,1543
Bryson City,2022,1514
Bryson City,2023,1521
Bryson City,2024,1522
Bunn,2020,329
Bunn,2021,342
Bunn,2022,352
Bunn,2023,363
Bunn,2024,374
Burgaw,2020,3738
Burgaw,2021,3885
Burgaw,2022,3967
Burgaw,2023,3814
Burgaw,2024,3825
Burlington,2020,57547
Burlington,2021,59272
Burlington,2022,59580
Burlington,2023,60350
Burlington,2024,61365
Burnsville,2020,1616
Burnsville,2021,1635
Burnsville,2022,1624
Burnsville,2023,1620
Burnsville,2024,1626
Butner,2020,7967
Butner,2021,7977
Butner,2022,8074
Butner,2023,8117
Butner,2024,8134
Cajah's Mountain,2020,2710
Cajah's Mountain,2021,2703
Cajah's Mountain,2022,2692
Cajah's Mountain,2023,2698
Cajah's Mountain,2024,2699
Calabash,2020,2017
Calabash,2021,2180
Calabash,2022,2304
Calabash,2023,2420
Calabash,2024,2975
Calypso,2020,325
Calypso,2021,324
Calypso,2022,326
Calypso,2023,331
Calypso,2024,336
Cameron,2020,241
Cameron,2021,249
Cameron,2022,254
Cameron,2023,260
Cameron,2024,262
Candor,2020,812
Candor,2021,812
Candor,2022,813
Candor,2023,821
Candor,2024,823
Canton,2020,4423
Canton,2021,4435
Canton,2022,4404
Canton,2023,4425
Canton,2024,4422
Cape Carteret,2020,2230
Cape Carteret,2021,2258
Cape Carteret,2022,2269
Cape Carteret,2023,2275
Cape Carteret,2024,2288
Carolina Beach,2020,6559
Carolina Beach,2021,6646
Carolina Beach,2022,6788
Carolina Beach,2023,6843
Carolina Beach,2024,6864
Carolina Shores,2020,4567
Carolina Shores,2021,4724
Carolina Shores,2022,5053
Carolina Shores,2023,5267
Carolina Shores,2024,5463
Carrboro,2020,21281
Carrboro,2021,21182
Carrboro,2022,21286
Carrboro,2023,21253
Carrboro,2024,21079
Carthage,2020,2779
Carthage,2021,2841
Carthage,2022,2903
Carthage,2023,2953
Carthage,2024,2999
Cary,2020,174803
Cary,2021,176928
Cary,2022,180376
Cary,2023,181205
Cary,2024,182659
Casar,2020,306
Casar,2021,306
Casar,2022,307
Casar,2023,309
Casar,2024,307
Castalia,2020,261
Castalia,2021,264
Castalia,2022,266
Castalia,2023,270
Castalia,2024,275
Caswell Beach,2020,391
Caswell Beach,2021,397
Caswell Beach,2022,396
Caswell Beach,2023,395
Caswell Beach,2024,387
Catawba,2020,707
Catawba,2021,709
Catawba,2022,715
Catawba,2023,721
Catawba,2024,729
Cedar Point,2020,1779
Cedar Point,2021,1803
Cedar Point,2022,1815
Cedar Point,2023,1820
Cedar Point,2024,1833
Cedar Rock,2020,299
Cedar Rock,2021,299
Cedar Rock,2022,296
Cedar Rock,2023,298
Cedar Rock,2024,299
Cerro Gordo,2020,131
Cerro Gordo,2021,131
Cerro Gordo,2022,134
Cerro Gordo,2023,140
Cerro Gordo,2024,143
Chadbourn,2020,1556
Chadbourn,2021,1545
Chadbourn,2022,1536
Chadbourn,2023,1534
Chadbourn,2024,1528
Chapel Hill,2020,57017
Chapel Hill,2021,61635
Chapel Hill,2022,62230
Chapel Hill,2023,63098
Chapel Hill,2024,64028
Charlotte,2020,874948
Charlotte,2021,882341
Charlotte,2022,898699
Charlotte,2023,920053
Charlotte,2024,943476
Cherryville,2020,6090
Cherryville,2021,6153
Cherryville,2022,6214
Cherryville,2023,6293
Cherryville,2024,6385
Chimney Rock Village,2020,137
Chimney Rock Village,2021,137
Chimney Rock Village,2022,138
Chimney Rock Village,2023,138
Chimney Rock Village,2024,138
China Grove,2020,4446
China Grove,2021,4469
China Grove,2022,4512
China Grove,2023,4574
China Grove,2024,4610
Chocowinity,2020,751
Chocowinity,2021,749
Chocowinity,2022,746
Chocowinity,2023,745
Chocowinity,2024,748
Claremont,2020,1695
Claremont,2021,1702
Claremont,2022,1717
Claremont,2023,1734
Claremont,2024,1753
Clarkton,2020,615
Clarkton,2021,608
Clarkton,2022,604
Clarkton,2023,603
Clarkton,2024,605
Clayton,2020,26698
Clayton,2021,28370
Clayton,2022,29465
Clayton,2023,30325
Clayton,2024,31732
Clemmons,2020,21233
Clemmons,2021,21524
Clemmons,2022,21880
Clemmons,2023,22226
Clemmons,2024,22471
Cleveland,2020,855
Cleveland,2021,860
Cleveland,2022,867
Cleveland,2023,880
Cleveland,2024,887
Clinton,2020,8367
Clinton,2021,8304
Clinton,2022,8264
Clinton,2023,8260
Clinton,2024,8317
Clyde,2020,1367
Clyde,2021,1375
Clyde,2022,1369
Clyde,2023,1375
Clyde,2024,1377
Coats,2020,2145
Coats,2021,2181
Coats,2022,2225
Coats,2023,2263
Coats,2024,2317
Cofield,2020,266
Cofield,2021,263
Cofield,2022,262
Cofield,2023,260
Cofield,2024,259
Colerain,2020,215
Colerain,2021,209
Colerain,2022,206
Colerain,2023,205
Colerain,2024,203
Columbia,2020,604
Columbia,2021,607
Columbia,2022,605
Columbia,2023,604
Columbia,2024,605
Columbus,2020,995
Columbus,2021,1015
Columbus,2022,1028
Columbus,2023,1027
Columbus,2024,1041
Como,2020,67
Como,2021,66
Como,2022,65
Como,2023,64
Como,2024,64
Concord,2020,104913
Concord,2021,107051
Concord,2022,108795
Concord,2023,110401
Concord,2024,112395
Conetoe,2020,200
Conetoe,2021,198
Conetoe,2022,199
Conetoe,2023,200
Conetoe,2024,200
Connelly Springs,2020,1521
Connelly Springs,2021,1527
Connelly Springs,2022,1526
Connelly Springs,2023,1536
Connelly Springs,2024,1545
Conover,2020,8442
Conover,2021,8484
Conover,2022,8566
Conover,2023,8652
Conover,2024,8760
Conway,2020,749
Conway,2021,735
Conway,2022,721
Conway,2023,715
Conway,2024,708
Cooleemee,2020,946
Cooleemee,2021,959
Cooleemee,2022,964
Cooleemee,2023,973
Cooleemee,2024,987
Cornelius,2020,31523
Cornelius,2021,31729
Cornelius,2022,32747
Cornelius,2023,33485
Cornelius,2024,34366
Cove City,2020,381
Cove City,2021,379
Cove City,2022,380
Cove City,2023,380
Cove City,2024,384
Cramerton,2020,5325
Cramerton,2021,5393
Cramerton,2022,5442
Cramerton,2023,5517
Cramerton,2024,5604
Creedmoor,2020,4918
Creedmoor,2021,4994
Creedmoor,2022,5015
Creedmoor,2023,5047
Creedmoor,2024,5049
Creswell,2020,210
Creswell,2021,208
Creswell,2022,206
Creswell,2023,205
Creswell,2024,203
Crossnore,2020,149
Crossnore,2021,150
Crossnore,2022,151
Crossnore,2023,151
Crossnore,2024,151
Dallas,2020,5949
Dallas,2021,6024
Dallas,2022,6084
Dallas,2023,6167
Dallas,2024,6270
Danbury,2020,186
Danbury,2021,186
Danbury,2022,186
Danbury,2023,186
Danbury,2024,188
Davidson,2020,14847
Davidson,2021,15208
Davidson,2022,15669
Davidson,2023,15919
Davidson,2024,16276
Denton,2020,1493
Denton,2021,1510
Denton,2022,1527
Denton,2023,1550
Denton,2024,1580
Dillsboro,2020,208
Dillsboro,2021,210
Dillsboro,2022,212
Dillsboro,2023,216
Dillsboro,2024,216
Dobbins Heights,2020,691
Dobbins Heights,2021,692
Dobbins Heights,2022,690
Dobbins Heights,2023,687
Dobbins Heights,2024,688
Dobson,2020,1470
Dobson,2021,1471
Dobson,2022,1471
Dobson,2023,1469
Dobson,2024,1469
Dortches,2020,1042
Dortches,2021,1046
Dortches,2022,1055
Dortches,2023,1066
Dortches,2024,1083
Dover,2020,349
Dover,2021,345
Dover,2022,345
Dover,2023,345
Dover,2024,347
Drexel,2020,1752
Drexel,2021,1753
Drexel,2022,1753
Drexel,2023,1774
Drexel,2024,1777
Dublin,2020,263
Dublin,2021,263
Dublin,2022,260
Dublin,2023,261
Dublin,2024,264
Duck,2020,745
Duck,2021,757
Duck,2022,752
Duck,2023,747
Duck,2024,742
Dunn,2020,8438
Dunn,2021,8440
Dunn,2022,8542
Dunn,2023,8613
Dunn,2024,8754
Durham,2020,281679
Durham,2021,286652
Durham,2022,290982
Durham,2023,296382
Durham,2024,301870
Earl,2020,202
Earl,2021,205
Earl,2022,206
Earl,2023,207
Earl,2024,208
East Arcadia,2020,417
East Arcadia,2021,416
East Arcadia,2022,412
East Arcadia,2023,414
East Arcadia,2024,418
East Bend,2020,633
East Bend,2021,633
East Bend,2022,637
East Bend,2023,638
East Bend,2024,640
Eastover,2020,3658
Eastover,2021,3683
Eastover,2022,3675
Eastover,2023,3704
Eastover,2024,3710
East Spencer,2020,1571
East Spencer,2021,1577
East Spencer,2022,1592
East Spencer,2023,1612
East Spencer,2024,1625
Eden,2020,15416
Eden,2021,15299
Eden,2022,15372
Eden,2023,15357
Eden,2024,15399
Edenton,2020,4465
Edenton,2021,4478
Edenton,2022,4517
Edenton,2023,4498
Edenton,2024,4492
Elizabeth City,2020,18644
Elizabeth City,2021,18836
Elizabeth City,2022,18846
Elizabeth City,2023,18974
Elizabeth City,2024,19028
Elizabethtown,2020,3306
Elizabethtown,2021,3284
Elizabethtown,2022,3261
Elizabethtown,2023,3269
Elizabethtown,2024,3290
Elkin,2020,4120
Elkin,2021,4091
Elkin,2022,4094
Elkin,2023,4100
Elkin,2024,4094
Elk Park,2020,539
Elk Park,2021,542
Elk Park,2022,548
Elk Park,2023,551
Elk Park,2024,555
Ellenboro,2020,727
Ellenboro,2021,730
Ellenboro,2022,734
Ellenboro,2023,739
Ellenboro,2024,741
Ellerbe,2020,850
Ellerbe,2021,849
Ellerbe,2022,844
Ellerbe,2023,841
Ellerbe,2024,841
Elm City,2020,1217
Elm City,2021,1202
Elm City,2022,1204
Elm City,2023,1215
Elm City,2024,1223
Elon,2020,10932
Elon,2021,10783
Elon,2022,10992
Elon,2023,11184
Elon,2024,11282
Emerald Isle,2020,3846
Emerald Isle,2021,3903
Emerald Isle,2022,3938
Emerald Isle,2023,3972
Emerald Isle,2024,4001
Enfield,2020,1854
Enfield,2021,1841
Enfield,2022,1815
Enfield,2023,1798
Enfield,2024,1791
Erwin,2020,4523
Erwin,2021,4587
Erwin,2022,4672
Erwin,2023,4757
Erwin,2024,4865
Everetts,2020,146
Everetts,2021,145
Everetts,2022,144
Everetts,2023,143
Everetts,2024,144
Fair Bluff,2020,700
Fair Bluff,2021,709
Fair Bluff,2022,711
Fair Bluff,2023,730
Fair Bluff,2024,728
Fairmont,2020,2186
Fairmont,2021,2184
Fairmont,2022,2186
Fairmont,2023,2200
Fairmont,2024,2212
Fairview,2020,3475
Fairview,2021,3542
Fairview,2022,3601
Fairview,2023,3704
Fairview,2024,3775
Faison,2020,787
Faison,2021,785
Faison,2022,791
Faison,2023,802
Faison,2024,811
Faith,2020,808
Faith,2021,813
Faith,2022,821
Faith,2023,831
Faith,2024,836
Falcon,2020,325
Falcon,2021,347
Falcon,2022,354
Falcon,2023,389
Falcon,2024,395
Falkland,2020,47
Falkland,2021,47
Falkland,2022,49
Falkland,2023,48
Falkland,2024,48
Fallston,2020,629
Fallston,2021,633
Fallston,2022,634
Fallston,2023,639
Fallston,2024,639
Farmville,2020,4460
Farmville,2021,4483
Farmville,2022,4499
Farmville,2023,4553
Farmville,2024,4547
Fayetteville,2020,210894
Fayetteville,2021,212265
Fayetteville,2022,211425
Fayetteville,2023,209873
Fayetteville,2024,209496
Flat Rock,2020,3485
Flat Rock,2021,3502
Flat Rock,2022,3534
Flat Rock,2023,3568
Flat Rock,2024,3602
Fletcher,2020,7975
Fletcher,2021,8007
Fletcher,2022,8090
Fletcher,2023,8171
Fletcher,2024,8251
Fontana Dam,2020,11
Fontana Dam,2021,11
Fontana Dam,2022,11
Fontana Dam,2023,11
Fontana Dam,2024,11
Forest City,2020,7367
Forest City,2021,7356
Forest City,2022,7345
Forest City,2023,7388
Forest City,2024,7397
Forest Hills,2020,303
Forest Hills,2021,306
Forest Hills,2022,309
Forest Hills,2023,315
Forest Hills,2024,318
Fountain,2020,379
Fountain,2021,384
Fountain,2022,385
Fountain,2023,387
Fountain,2024,389
Four Oaks,2020,2263
Four Oaks,2021,2373
Four Oaks,2022,2473
Four Oaks,2023,2533
Four Oaks,2024,2681
Foxfire,2020,1293
Foxfire,2021,1323
Foxfire,2022,1354
Foxfire,2023,1379
Foxfire,2024,1401
Franklin,2020,4181
Franklin,2021,4220
Franklin,2022,4276
Franklin,2023,4334
Franklin,2024,4362
Franklinton,2020,2483
Franklinton,2021,2576
Franklinton,2022,2652
Franklinton,2023,2736
Franklinton,2024,2825
Franklinville,2020,1205
Franklinville,2021,1213
Franklinville,2022,1222
Franklinville,2023,1236
Franklinville,2024,1245
Fremont,2020,1192
Fremont,2021,1188
Fremont,2022,1194
Fremont,2023,1204
Fremont,2024,1207
Fuquay-Varina,2020,34556
Fuquay-Varina,2021,36773
Fuquay-Varina,2022,40745
Fuquay-Varina,2023,44066
Fuquay-Varina,2024,46317
Gamewell,2020,3695
Gamewell,2021,3691
Gamewell,2022,3677
Gamewell,2023,3691
Gamewell,2024,3699
Garland,2020,598
Garland,2021,600
Garland,2022,600
Garland,2023,607
Garland,2024,614
Garner,2020,31412
Garner,2021,32094
Garner,2022,33839
Garner,2023,35654
Garner,2024,39345
Garysburg,2020,912
Garysburg,2021,896
Garysburg,2022,879
Garysburg,2023,874
Garysburg,2024,867
Gaston,2020,1013
Gaston,2021,998
Gaston,2022,979
Gaston,2023,974
Gaston,2024,967
Gastonia,2020,80561
Gastonia,2021,81386
Gastonia,2022,82646
Gastonia,2023,84231
Gastonia,2024,85535
Gatesville,2020,269
Gatesville,2021,268
Gatesville,2022,266
Gatesville,2023,262
Gatesville,2024,260
Gibson,2020,453
Gibson,2021,453
Gibson,2022,453
Gibson,2023,455
Gibson,2024,456
Gibsonville,2020,9145
Gibsonville,2021,9407
Gibsonville,2022,9536
Gibsonville,2023,9549
Gibsonville,2024,9744
Glen Alpine,2020,1526
Glen Alpine,2021,1525
Glen Alpine,2022,1519
Glen Alpine,2023,1527
Glen Alpine,2024,1532
Godwin,2020,154
Godwin,2021,156
Godwin,2022,155
Godwin,2023,157
Godwin,2024,156
Goldsboro,2020,34495
Goldsboro,2021,34181
Goldsboro,2022,34118
Goldsboro,2023,34505
Goldsboro,2024,34629
Goldston,2020,235
Goldston,2021,240
Goldston,2022,244
Goldston,2023,250
