Geographic Area,Year,Population
Harnett,2021,135553
Harnett,2022,138514
Harnett,2023,141772
Harnett,2024,146456
Harnett,2025,150137
Haywood,2020,62219
Haywood,2021,62539
Haywood,2022,62588
Haywood,2023,62948
Haywood,2024,63233
Haywood,2025,63369
Henderson,2020,116564
Henderson,2021,117187
Henderson,2022,118337
Henderson,2023,119643
Henderson,2024,121286
Henderson,2025,122375
Hertford,2020,21414
Hertford,2021,19810
Hertford,2022,19492
Hertford,2023,19194
Hertford,2024,19099
Hertford,2025,19015
Hoke,2020,52230
Hoke,2021,53186
Hoke,2022,53732
Hoke,2023,54710
Hoke,2024,55659
Hoke,2025,56939
Hyde,2020,4508
Hyde,2021,4615
Hyde,2022,4621
Hyde,2023,4642
Hyde,2024,4593
Hyde,2025,4554
Iredell,2020,187676
Iredell,2021,192185
Iredell,2022,196005
Iredell,2023,200005
Iredell,2024,206119
Iredell,2025,211798
Jackson,2020,42142
Jackson,2021,42521
Jackson,2022,43920
Jackson,2023,45034
Jackson,2024,44986
Jackson,2025,45039
Johnston,2020,217450
Johnston,2021,226965
Johnston,2022,234667
Johnston,2023,242010
Johnston,2024,249522
Johnston,2025,256448
Jones,2020,9150
Jones,2021,9216
Jones,2022,9247
Jones,2023,9448
Jones,2024,9500
Jones,2025,9575
Lee,2020,63388
Lee,2021,63997
Lee,2022,65613
Lee,2023,67346
Lee,2024,68819
Lee,2025,70258
Lenoir,2020,55062
Lenoir,2021,54713
Lenoir,2022,54540
Lenoir,2023,54983
Lenoir,2024,55432
Lenoir,2025,55837
Lincoln,2020,87153
Lincoln,2021,89935
Lincoln,2022,93088
Lincoln,2023,95723
Lincoln,2024,97519
Lincoln,2025,98654
McDowell,2020,44554
McDowell,2021,44541
McDowell,2022,44745
McDowell,2023,44946
McDowell,2024,45298
McDowell,2025,45198
Macon,2020,37085
Macon,2021,37457
Macon,2022,37964
Macon,2023,38433
Macon,2024,38820
Macon,2025,39232
Madison,2020,21292
Madison,2021,21739
Madison,2022,21908
Madison,2023,22044
Madison,2024,22466
Madison,2025,22553
Martin,2020,21954
Martin,2021,21747
Martin,2022,21493
Martin,2023,21484
Martin,2024,21562
Martin,2025,21601
Mecklenburg,2020,1116183
Mecklenburg,2021,1125402
Mecklenburg,2022,1148324
Mecklenburg,2023,1173749
Mecklenburg,2024,1206829
Mecklenburg,2025,1233383
Mitchell,2020,14901
Mitchell,2021,14980
Mitchell,2022,15043
Mitchell,2023,15013
Mitchell,2024,15142
Mitchell,2025,15062
Montgomery,2020,25700
Montgomery,2021,25834
Montgomery,2022,25865
Montgomery,2023,26227
Montgomery,2024,26348
Montgomery,2025,26403
Moore,2020,100295
Moore,2021,103056
Moore,2022,105484
Moore,2023,106915
Moore,2024,108383
Moore,2025,110619
Nash,2020,95633
Nash,2021,95690
